ª›ÃﬂŸ:	'1_-3
Ãß≤Ÿñº:	1_-03.FD3
ï™êÕì˙éû:	'11:24:13, 11/26/2021
µÕﬂ⁄∞¿:	F-2700-USER
∫“›ƒ:	'

åıìxåv
”√ﬁŸ:	F-7100å`ï™åıåuåıåıìxåv
ºÿ±Ÿ No.:	2908-007
ROM Ver.:	5J14000 12

ëïíuèåè
ë™íË”∞ƒﬁ:	3éüå≥
√ﬁ∞¿”∞ƒﬁ:	åuåı
ó„ãNäJénîgí∑:	200.0 nm
ó„ãNèIóπîgí∑:	400.0 nm
ó„ãNë§ª›Ãﬂÿ›∏ﬁä‘äu:	10.0 nm
åuåıäJénîgí∑:	300.0 nm
åuåıèIóπîgí∑:	550.0 nm
åuåıë§ª›Ãﬂÿ›∏ﬁä‘äu:	2.0 nm
Ω∑¨›ΩÀﬂ∞ƒﬁ:	12000 nm/min
ó„ãNë§ΩÿØƒ:	5.0 nm
åuåıë§ΩÿØƒ:	5.0 nm
ŒƒœŸìdà≥:	400 V
⁄ΩŒﬂ›Ω:	é©ìÆ 
ΩÕﬂ∏ƒŸï‚ê≥:	On
º¨Ø¿êßå‰:	Off
ìôçÇê¸ä‘äu:	10.000

ëïíuä÷êî
ó„ãNë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF400V
åuåıë§(200Å`600nm)  ΩÿØƒÅF5.0/20.0nm  ŒƒœŸìdà≥ÅF250V
åuåıë§(500Å`900nm)  ñ≥
ó„ãNë§(500Å`900nm)  ñ≥

åuåıã≠ìxïWèÄâª:	ON
ïWèÄééóøÃß≤Ÿñº:	STD_20211126_111042.FD3
ïWèÄééóø√ﬁ∞¿
EX:	340.0	nm
EM:	454.0	nm
Data:	28.57
îZìx:	100.000	FLU
ä∑éZåWêî:	3.499565

éwíËîgí∑
No.	EX/EM(nm)	çÇÇ≥(Data)	


√ﬁ∞¿ÿΩƒ
422.0	10.55	21.41	35.68	39.62	36.35	27.19	21.07	18.93	17.92	17.88	17.42	18.48	19.66	20.04	18.57	16.19	13.77	16.17	7.272	4.491	2.432
424.0	11.02	23.59	36.82	40.14	36.48	27.05	20.78	18.48	17.55	17.76	17.43	18.12	19.45	19.65	18.80	16.43	14.00	16.54	7.645	4.752	2.638
426.0	12.58	22.21	35.53	41.63	36.54	27.78	21.24	18.34	17.51	17.47	17.47	17.94	19.02	19.49	18.70	16.43	13.97	16.02	8.252	5.009	2.845
428.0	11.09	21.00	36.92	40.43	34.57	26.17	21.20	18.39	17.42	17.23	17.10	17.82	18.56	19.21	18.62	16.73	14.34	14.85	9.155	5.250	3.099
430.0	7.742	20.98	32.42	39.40	34.64	26.86	21.56	18.25	17.35	16.97	16.81	17.66	18.32	19.02	18.40	16.66	14.10	13.71	10.29	5.554	3.239
432.0	6.390	25.14	34.27	38.13	34.30	26.43	21.47	18.35	16.60	16.41	16.56	17.42	18.29	18.91	18.35	16.63	14.09	12.82	11.55	5.745	3.500
434.0	11.47	23.01	31.82	40.10	34.56	26.28	21.24	17.67	16.95	16.71	16.19	17.09	17.85	18.48	18.03	16.30	14.08	12.07	12.61	5.971	3.654
436.0	11.39	22.30	35.61	37.28	33.97	26.77	21.23	18.08	16.47	16.05	15.99	16.71	17.57	18.45	17.72	16.28	14.06	12.11	13.45	6.112	3.846
438.0	10.27	20.64	30.83	36.74	34.55	26.31	20.85	17.89	16.43	15.74	15.70	16.36	17.19	17.69	17.46	15.98	14.11	11.78	13.39	6.486	3.996
440.0	9.299	21.40	29.32	37.28	33.41	26.37	21.08	17.44	15.92	15.51	15.19	15.75	16.67	17.28	17.01	15.96	14.00	11.67	12.61	7.015	4.164
442.0	7.771	19.47	28.06	36.58	33.72	26.81	20.61	17.19	15.84	15.07	15.15	15.43	16.18	17.01	17.01	15.65	13.78	11.57	11.49	7.712	4.294
